CITY,TAX_MEAN,TAX_STD,PROPERTY_COUNT,TAX_CV,STABILITY_SCORE,CITY 1,Latitude,Longitude
Allentown,4987.237142857142,2953.9964853245933,28,0.5923112137459491,Cukup Stabil,Allentown,41.83124868239286,-71.41500424032144
Attleboro,5433.975555555556,3015.964503368547,18,0.5550198878397793,Stabil,Attleboro,41.82680916466667,-71.42611800233334
BARRINGTON,4584.323636363636,2821.3289819631905,11,0.6154297134661105,Cukup Stabil,BARRINGTON,41.833969961181815,-71.410427357
Barrington,6049.194838709677,3169.4722437695186,62,0.5239494392687776,Stabil,Barrington,41.83116600479032,-71.41379193114516
Bethany,7841.6092592592595,1631.0212137413212,108,0.20799572636387548,Sangat Stabil,Bethany,41.84008500900926,-71.43059293654629
Boston,5315.9338181818175,2584.0408905974373,55,0.4860935028497484,Stabil,Boston,41.824806980909095,-71.42101294627273
Bristol,6346.337142857143,2975.77056173931,14,0.46889575746674056,Stabil,Bristol,41.8313884145,-71.42675994607143
Brockton,7083.581818181818,1864.9557283207455,11,0.2632786316569199,Sangat Stabil,Brockton,41.827604730272725,-71.43053192245453
Brookline,4398.316923076924,3375.21218400509,13,0.7673872172094179,Kurang Stabil,Brookline,41.830084019384614,-71.42310069607692
Brooklyn,5468.368,2424.858755043596,20,0.4434337182580974,Sangat Stabil,Brooklyn,41.82756186395,-71.41548028545
Burlington,2930.964,1987.4532429843196,10,0.6780885889367183,Kurang Stabil,Burlington,41.8157836021,-71.4165237088
CRANSTON,4303.1096875,2823.9535155561516,128,0.6562587804255574,Cukup Stabil,CRANSTON,41.814879035625,-71.43291030860156
Cambridge,5288.32,1568.5943851996922,11,0.29661487678500775,Sangat Stabil,Cambridge,41.82141245454545,-71.415411533
Canton,3815.927619047619,3207.3736473225326,21,0.8405226638242762,Kurang Stabil,Canton,41.81260033442857,-71.43316253419047
Central Falls,4065.2810256410253,2688.996198427364,39,0.6614539515145463,Cukup Stabil,Central Falls,41.81912435951282,-71.44084549571795
Charlestown,6329.2552380952375,2434.8820866555716,21,0.3847027801944576,Sangat Stabil,Charlestown,41.83719419157143,-71.42707958319048
Chepachet,4743.698461538462,2288.1704068913964,26,0.48236000358026637,Stabil,Chepachet,41.833783030846156,-71.4350210405
Coventry,4699.309230769231,2630.459310195745,52,0.5597544619903986,Stabil,Coventry,41.82378498207692,-71.43223991271154
Cranston,4785.66526984127,2767.433779507095,630,0.5782756677419867,Cukup Stabil,Cranston,41.81707390656667,-71.42844362078888
Cumberland,4616.345714285715,2914.9018079509674,42,0.6314305704901022,Cukup Stabil,Cumberland,41.82363598445238,-71.42017784242857
Dedham,6892.294545454546,1618.9103580146964,11,0.2348869955191286,Sangat Stabil,Dedham,41.818963910363635,-71.42433163063636
Dorchester,5069.301176470588,2829.6038494502245,17,0.5581842054648422,Stabil,Dorchester,41.82100595441176,-71.42475896164706
East Greenwich,5247.414901960784,2979.4012063369814,102,0.567784568592752,Cukup Stabil,East Greenwich,41.82425778520589,-71.4241318672451
East Providence,5196.456385542168,3168.8971376422915,83,0.6098188654982172,Cukup Stabil,East Providence,41.821370681891565,-71.42340678927711
Framingham,5987.0654545454545,3601.8417817232444,11,0.6016038757332578,Cukup Stabil,Framingham,41.82930962636363,-71.42467302263636
Greene,1658.6733333333332,2137.4470728389692,12,1.2886486024004944,Kurang Stabil,Greene,41.82362972375,-71.43329955641667
Greenville,5284.228965517242,1941.4046492724663,29,0.3673960121602024,Sangat Stabil,Greenville,41.82738653958621,-71.4315778562069
Hingham,5278.6061538461545,1774.1137986684062,13,0.33609512567550287,Sangat Stabil,Hingham,41.82932395746154,-71.42980288584616
Hope,5050.588571428571,3765.5445596555683,14,0.7455654932887307,Kurang Stabil,Hope,41.82305860057143,-71.43299974607143
Houston,4568.63,2901.959858935462,12,0.6351925760973118,Cukup Stabil,Houston,41.82736736741666,-71.41854842408334
JOHNSTON,4223.625333333333,2838.1578481253514,120,0.6719719729224762,Kurang Stabil,JOHNSTON,41.825429264725,-71.44155827777499
Johnston,4093.0525714285714,2890.8916642510803,280,0.7062923365389591,Kurang Stabil,Johnston,41.82400909621786,-71.43875911660358
LEXINGTON,5571.168000000001,3156.528365592264,15,0.5665828719565204,Cukup Stabil,LEXINGTON,41.826350935533334,-71.43853986426666
LINCOLN,4069.1,2780.42178412944,14,0.6833014141037183,Kurang Stabil,LINCOLN,41.84302512092857,-71.42659702078572
Lexington,7317.018666666667,1607.7622917310819,15,0.2197291499412714,Sangat Stabil,Lexington,41.83777099660001,-71.43113474893333
Lincoln,5630.723165467626,3021.837329081992,139,0.5366694899181802,Stabil,Lincoln,41.83206468851079,-71.4242874143741
Los Angeles,5171.7692307692305,3513.6438827387865,13,0.6793891463359396,Kurang Stabil,Los Angeles,41.825575130461544,-71.41684181846153
Lynn,4506.083636363636,3258.3396159125973,11,0.7230979002737828,Kurang Stabil,Lynn,41.81743164127273,-71.41964462281818
Middletown,4938.14,3271.097013007882,12,0.6624147984884758,Cukup Stabil,Middletown,41.831336577416664,-71.43334372966666
Milton,7364.580000000001,3751.121487245212,12,0.5093462882126627,Stabil,Milton,41.83417168616666,-71.41572664933334
NORTH PROVIDENCE,3597.426046511628,2627.539975100863,43,0.7303944378922675,Kurang Stabil,NORTH PROVIDENCE,41.84131004476744,-71.44882531374418
NORTH SCITUATE,3246.534193548387,2901.7308853771797,31,0.8937934154963126,Kurang Stabil,NORTH SCITUATE,41.82147874954838,-71.41938633241936
Naples,4547.316363636364,3441.9460887563964,11,0.7569181058702427,Kurang Stabil,Naples,41.832067267,-71.42211464
Narragansett,6501.07,3117.3139388986174,32,0.47950782546544146,Stabil,Narragansett,41.8258197730625,-71.4249609345
New Bedford,5734.378823529412,1990.0947484035855,17,0.347046264233153,Sangat Stabil,New Bedford,41.82356035258823,-71.4288998822353
New Brunswick,6630.17,2925.054142951888,16,0.44117332480945254,Sangat Stabil,New Brunswick,41.823695546125,-71.432495806625
New York,4613.24,3211.645232199707,37,0.6961799585973648,Kurang Stabil,New York,41.81485472854054,-71.4129027702973
Newton,7406.543333333334,2530.122739643396,12,0.3416064182405462,Sangat Stabil,Newton,41.826545831,-71.41911692283334
North Attleboro,5801.930666666667,2285.052822870112,15,0.39384352453541527,Sangat Stabil,North Attleboro,41.83404868713333,-71.43236344959999
North Hempstead,4759.573333333333,2567.531376736716,24,0.5394457017302776,Stabil,North Hempstead,41.792733729333335,-71.401261986625
North Kingstown,6137.2,2472.4356353768812,28,0.40286052847827697,Sangat Stabil,North Kingstown,41.82565964778571,-71.42395007185715
North Providence,4044.0225482625483,2806.2070258599465,259,0.6939147822174211,Kurang Stabil,North Providence,41.835600831154444,-71.4370032634749
North Scituate,3970.7472000000002,2496.140563422394,25,0.6286324557308492,Cukup Stabil,North Scituate,41.82743406816,-71.44035337828
North Smithfield,5598.805,2182.4994684016156,16,0.38981523171491334,Sangat Stabil,North Smithfield,41.8292472468125,-71.44082781756251
Norwood,6412.648,2568.073276222023,15,0.4004700205316155,Sangat Stabil,Norwood,41.83098273346666,-71.44131387186667
PAWTUCKET,1937.594285714286,2481.1891749009615,21,1.280551451454287,Kurang Stabil,PAWTUCKET,41.840924638714284,-71.42112837323809
PROVIDENCE,3760.611113189897,2272.872914331266,5345,0.6043892457689747,Cukup Stabil,PROVIDENCE,41.82377320759869,-71.42854263135398
Pawtucket,4933.20935323383,2777.09361960739,201,0.562938529618035,Cukup Stabil,Pawtucket,41.82971186437313,-71.42753914779104
Plymouth,4971.68,2155.7034169291474,16,0.43359657438313554,Sangat Stabil,Plymouth,41.8197971905,-71.428520690125
Providence,4061.4574133686806,2149.970867468793,21124,0.5293594512137332,Stabil,Providence,41.82499248045711,-71.42838007933871
"Providence, RI",6277.026666666667,1900.9875496051645,27,0.3028484106496013,Sangat Stabil,"Providence, RI",41.827670376814815,-71.41315152459259
Quincy,5853.923636363636,3136.228877942949,22,0.5357481704170511,Stabil,Quincy,41.824860551227275,-71.42390044304545
RUMFORD,5263.8036363636365,3036.6448382096737,11,0.5768917398878242,Cukup Stabil,RUMFORD,41.83685116236364,-71.42860887763636
Randolph,4542.307692307692,1763.9743574390654,13,0.3883432116292608,Sangat Stabil,Randolph,41.82581531523077,-71.43616662907692
Rehoboth,4401.644285714286,3133.033643452169,28,0.7117871050190394,Kurang Stabil,Rehoboth,41.82371193310714,-71.42060701264286
Riverside,6475.687272727272,3250.2940643243064,11,0.5019226419430577,Stabil,Riverside,41.83138637081818,-71.4199854460909
Rumford,5214.55,2590.046746365381,20,0.49669611881473585,Stabil,Rumford,41.81539407225,-71.42242160229999
SEEKONK,4490.607272727273,3539.0433991492414,11,0.788099066387491,Kurang Stabil,SEEKONK,41.834965588181824,-71.4115359910909
SMITHFIELD,4308.96347826087,3253.095912777981,23,0.7549601961562586,Kurang Stabil,SMITHFIELD,41.82980665295652,-71.42380852226087
Saunderstown,5302.624,3184.84753556308,10,0.6006172671422828,Cukup Stabil,Saunderstown,41.8281020237,-71.4320465087
Scituate,6781.847272727272,1137.208142611465,11,0.16768412747728317,Sangat Stabil,Scituate,41.82457418463636,-71.44043700027272
Seattle,1875.3239999999998,2216.847971366458,20,1.182114648650824,Kurang Stabil,Seattle,41.8202788292,-71.4137477386
Seekonk,5981.437857142858,2867.1444077242454,56,0.479340331907049,Stabil,Seekonk,41.82991899992857,-71.423438161875
Sharon,5998.569523809523,2744.4580128514917,21,0.45751874708764956,Stabil,Sharon,41.82332390280952,-71.42592136342857
Smithfield,4240.28,2327.361137189022,46,0.5488696824712099,Stabil,Smithfield,41.82847145743478,-71.43097003552174
Somerville,5495.908,3344.882857888383,10,0.608613327932051,Cukup Stabil,Somerville,41.8329190955,-71.4179926035
South Attleboro,5267.465454545454,1103.70843458192,11,0.20953311305145758,Sangat Stabil,South Attleboro,41.827510727454545,-71.42318936763637
Stoughton,6527.011111111111,1948.5685320281805,18,0.2985391780184162,Sangat Stabil,Stoughton,41.812676334222225,-71.41580250638889
Swansea,5741.7292307692305,2864.2284671049474,13,0.4988442247948396,Stabil,Swansea,41.81955159569231,-71.42844729346153
WARWICK,4712.0428571428565,2941.574503990715,42,0.6242673492520686,Cukup Stabil,WARWICK,41.811312655142856,-71.41558251102381
Wakefield,3944.5781818181817,3143.0321134783794,11,0.7967980272176164,Kurang Stabil,Wakefield,41.826619551,-71.42128135245456
Waltham,4970.664,3758.324469095829,10,0.7561010901352071,Kurang Stabil,Waltham,41.8220605895,-71.4322400825
Warren,5131.056842105263,2758.7026421471146,19,0.5376480376341386,Stabil,Warren,41.828315823000004,-71.42744957652633
Warwick,4542.193875598086,2722.296384476081,209,0.5993351360673981,Cukup Stabil,Warwick,41.818446928334936,-71.43209062121053
West Greenwich,4934.393333333333,3307.0073431958863,12,0.6701953248955737,Cukup Stabil,West Greenwich,41.82337147175,-71.44023622774999
West Roxbury,6741.41090909091,2599.249602056157,11,0.3855646298834898,Sangat Stabil,West Roxbury,41.830828269363636,-71.43127200654546
West Warwick,5188.425641025641,2304.962972014261,39,0.4442509407456053,Stabil,West Warwick,41.820024486179484,-71.43132759510256
Westport,6186.487999999999,3796.500513393296,10,0.6136762107019841,Cukup Stabil,Westport,41.817543802299994,-71.4253236089
Woonsocket,4696.104242424242,2415.7980358659825,33,0.5144259818685135,Stabil,Woonsocket,41.82733339657575,-71.4264537491515
